T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326422211,1522326422349,1522326422349,1522326422490
1522326422490,1522326422628,1522326422628,1522326422769
1522326422769,1522326422907,1522326422907,1522326423049
1522326423049,1522326423187,1522326423187,1522326423328
1522326423328,1522326423467,1522326423468,1522326423609
1522326423609,1522326423747,1522326423747,1522326423888
1522326423888,1522326424026,1522326424026,1522326424167
1522326424167,1522326424305,1522326424305,1522326424446
1522326424446,1522326424584,1522326424584,1522326424725
1522326424725,1522326424863,1522326424863,1522326425004
1522326425004,1522326425142,1522326425142,1522326425284
1522326425284,1522326425422,1522326425422,1522326425563
1522326425563,1522326425701,1522326425701,1522326425842
1522326425842,1522326425980,1522326425980,1522326426121
1522326426121,1522326426259,1522326426259,1522326426400
1522326426400,1522326426538,1522326426538,1522326426679
1522326426679,1522326426817,1522326426817,1522326426958
1522326426958,1522326427096,1522326427096,1522326427237
1522326427237,1522326427375,1522326427375,1522326427517
1522326427517,1522326427656,1522326427656,1522326427797
1522326427797,1522326427935,1522326427935,1522326428076
1522326428077,1522326428215,1522326428215,1522326428356
1522326428356,1522326428494,1522326428494,1522326428635
1522326428635,1522326428773,1522326428773,1522326428914
1522326428914,1522326429052,1522326429052,1522326429193
1522326429193,1522326429331,1522326429332,1522326429472
1522326429473,1522326429610,1522326429611,1522326429752
1522326429752,1522326429889,1522326429890,1522326430031
1522326430031,1522326430169,1522326430169,1522326430310
1522326430310,1522326430448,1522326430448,1522326430589
1522326430589,1522326430727,1522326430728,1522326430869
1522326430869,1522326431006,1522326431007,1522326431148
1522326431148,1522326431286,1522326431286,1522326431427
1522326431427,1522326431565,1522326431565,1522326431706
1522326431706,1522326431844,1522326431845,1522326431985
1522326431985,1522326432124,1522326432124,1522326432265
1522326432265,1522326432403,1522326432403,1522326432544
1522326432544,1522326432682,1522326432682,1522326432823
1522326432823,1522326432961,1522326432961,1522326433102
1522326433102,1522326433240,1522326433241,1522326433381
1522326433382,1522326433519,1522326433520,1522326433661
1522326433661,1522326433799,1522326433799,1522326433940
1522326433940,1522326434079,1522326434079,1522326434221
1522326434221,1522326434359,1522326434359,1522326434501
1522326434501,1522326434639,1522326434639,1522326434780
1522326434780,1522326434918,1522326434918,1522326435059
1522326435059,1522326435197,1522326435197,1522326435338
1522326435338,1522326435476,1522326435476,1522326435617
1522326435617,1522326435755,1522326435755,1522326435896
1522326435896,1522326436034,1522326436034,1522326436175
1522326436175,1522326436313,1522326436313,1522326436454
1522326436454,1522326436592,1522326436592,1522326436733
1522326436733,1522326436871,1522326436871,1522326437012
1522326437012,1522326437150,1522326437150,1522326437291
1522326437291,1522326437429,1522326437429,1522326437570
1522326437570,1522326437708,1522326437708,1522326437849
1522326437849,1522326437987,1522326437987,1522326438128
1522326438129,1522326438266,1522326438266,1522326438407
1522326438407,1522326438546,1522326438546,1522326438687
1522326438687,1522326438825,1522326438826,1522326438966
1522326438967,1522326439105,1522326439105,1522326439247
1522326439247,1522326439385,1522326439385,1522326439526
1522326439526,1522326439664,1522326439664,1522326439805
1522326439805,1522326439943,1522326439943,1522326440084
1522326440084,1522326440223,1522326440223,1522326440364
1522326440364,1522326440502,1522326440502,1522326440643
1522326440643,1522326440781,1522326440781,1522326440922
1522326440922,1522326441060,1522326441061,1522326441201
1522326441201,1522326441339,1522326441340,1522326441481
1522326441481,1522326441619,1522326441619,1522326441760
1522326441760,1522326441898,1522326441898,1522326442040
1522326442041,1522326442179,1522326442179,1522326442320
1522326442320,1522326442458,1522326442458,1522326442599
1522326442599,1522326442737,1522326442737,1522326442878
1522326442878,1522326443021,1522326443022,1522326443162
1522326443162,1522326443301,1522326443301,1522326443442
1522326443442,1522326443581,1522326443581,1522326443721
1522326443722,1522326443859,1522326443860,1522326444001
1522326444001,1522326444140,1522326444140,1522326444281
1522326444281,1522326444419,1522326444419,1522326444561
1522326444561,1522326444699,1522326444699,1522326444840
1522326444840,1522326444978,1522326444978,1522326445119
1522326445120,1522326445258,1522326445258,1522326445399
1522326445399,1522326445537,1522326445537,1522326445678
