T1 (ms),T2 (ms),T3 (ms),T4 (ms)
1522326112125,1522326112267,1522326112267,1522326112355
1522326112355,1522326112497,1522326112497,1522326112584
1522326112585,1522326112727,1522326112727,1522326112814
1522326112814,1522326112956,1522326112956,1522326113043
1522326113043,1522326113186,1522326113186,1522326113273
1522326113273,1522326113416,1522326113416,1522326113504
1522326113504,1522326113646,1522326113646,1522326113733
1522326113734,1522326113885,1522326113885,1522326113972
1522326113972,1522326114111,1522326114111,1522326114198
1522326114198,1522326114339,1522326114339,1522326114426
1522326114426,1522326114567,1522326114567,1522326114655
1522326114655,1522326114803,1522326114803,1522326114890
1522326114890,1522326115033,1522326115033,1522326115121
1522326115121,1522326115264,1522326115264,1522326115353
1522326115353,1522326115500,1522326115500,1522326115587
1522326115587,1522326115724,1522326115724,1522326115811
1522326115812,1522326115955,1522326115955,1522326116043
1522326116043,1522326116181,1522326116181,1522326116269
1522326116269,1522326116412,1522326116412,1522326116499
1522326116499,1522326116641,1522326116641,1522326116728
1522326116728,1522326116870,1522326116870,1522326116958
1522326116958,1522326117096,1522326117096,1522326117185
1522326117185,1522326117328,1522326117328,1522326117417
1522326117418,1522326117564,1522326117564,1522326117651
1522326117651,1522326117792,1522326117792,1522326117879
1522326117880,1522326118022,1522326118022,1522326118109
1522326118110,1522326118252,1522326118252,1522326118339
1522326118339,1522326118482,1522326118483,1522326118570
1522326118570,1522326118709,1522326118709,1522326118796
1522326118796,1522326118937,1522326118937,1522326119024
1522326119024,1522326119166,1522326119166,1522326119254
1522326119254,1522326119397,1522326119397,1522326119485
1522326119485,1522326119627,1522326119627,1522326119714
1522326119715,1522326119858,1522326119858,1522326119945
1522326119945,1522326120089,1522326120089,1522326120176
1522326120176,1522326120319,1522326120319,1522326120406
1522326120406,1522326120549,1522326120549,1522326120636
1522326120636,1522326120779,1522326120779,1522326120867
1522326120867,1522326121009,1522326121009,1522326121096
1522326121096,1522326121238,1522326121238,1522326121398
1522326121398,1522326121543,1522326121543,1522326121630
1522326121630,1522326121774,1522326121774,1522326121861
1522326121862,1522326122004,1522326122004,1522326122092
1522326122092,1522326122233,1522326122233,1522326122321
1522326122321,1522326122464,1522326122464,1522326122551
1522326122551,1522326122694,1522326122694,1522326122781
1522326122781,1522326122926,1522326122926,1522326123014
1522326123014,1522326123157,1522326123157,1522326123244
1522326123244,1522326123389,1522326123389,1522326123477
1522326123477,1522326123623,1522326123623,1522326123712
1522326123712,1522326123856,1522326123856,1522326123943
1522326123943,1522326124090,1522326124090,1522326124178
1522326124178,1522326124321,1522326124321,1522326124470
1522326124470,1522326124613,1522326124613,1522326124778
1522326124778,1522326124920,1522326124920,1522326125009
1522326125009,1522326125163,1522326125163,1522326125289
1522326125290,1522326125433,1522326125433,1522326125597
1522326125597,1522326125741,1522326125741,1522326125904
1522326125904,1522326126048,1522326126048,1522326126211
1522326126211,1522326126354,1522326126354,1522326126518
1522326126518,1522326126661,1522326126661,1522326126748
1522326126748,1522326126892,1522326126892,1522326127030
1522326127031,1522326127173,1522326127173,1522326127373
1522326127373,1522326127518,1522326127518,1522326127645
1522326127645,1522326127787,1522326127787,1522326127952
1522326127952,1522326128095,1522326128095,1522326128259
1522326128259,1522326128403,1522326128403,1522326128567
1522326128567,1522326128709,1522326128709,1522326128874
1522326128874,1522326129015,1522326129015,1522326129181
1522326129181,1522326129323,1522326129323,1522326129488
1522326129488,1522326129630,1522326129630,1522326129795
1522326129795,1522326129939,1522326129939,1522326130103
1522326130103,1522326130245,1522326130245,1522326130409
1522326130410,1522326130553,1522326130553,1522326130640
1522326130640,1522326130783,1522326130783,1522326130871
1522326130871,1522326131014,1522326131014,1522326131126
1522326131126,1522326131269,1522326131269,1522326131434
1522326131434,1522326131576,1522326131576,1522326131741
1522326131741,1522326131885,1522326131885,1522326132049
1522326132049,1522326132192,1522326132192,1522326132355
1522326132355,1522326132498,1522326132498,1522326132662
